SUBID,NEIGHBOURS
8200586.0,"[8200349.0, 8211411.0, 8213855.0, 8213875.0, 8213880.0, 8200301.0, 8214132.0, 8213798.0, 8214034.0]"
8211467.0,"[8208448.0, 8210546.0, 8211550.0, 8211560.0, 8211914.0, 8212423.0, 8212123.0, 8212131.0, 8211881.0, 8212494.0, 8210761.0]"
8211701.0,"[8209668.0, 8210928.0, 8212241.0, 8210530.0, 8211730.0, 8211640.0, 8210929.0]"
8212280.0,"[8207657.0, 8207414.0]"
8214944.0,"[8214936.0, 8211911.0, 8210097.0, 8214319.0, 8212236.0, 8300839.0, 8320318.0]"
8213834.0,"[8213831.0, 8214214.0, 8213916.0, 8303250.0, 8214009.0, 8214391.0, 8303481.0]"
8210097.0,"[8214944.0, 8214319.0]"
8212138.0,"[8214634.0, 8214503.0, 8214834.0, 8214774.0, 8320393.0]"
8212566.0,"[8211758.0, 8212570.0, 8214707.0, 8208967.0, 8207989.0, 8214477.0]"
8212274.0,"[8210947.0, 8211552.0, 8212307.0, 8212502.0, 8212085.0]"
8214319.0,"[8211649.0, 8214936.0, 8214944.0, 8210097.0, 8212236.0, 8214855.0]"
8212253.0,"[8207657.0, 8211752.0, 8210402.0, 8211062.0, 8207414.0]"
8212552.0,"[8211385.0, 8211446.0, 8211758.0, 8212570.0, 8214707.0, 8208967.0, 8212276.0]"
8212123.0,"[8210546.0, 8211649.0, 8212423.0, 8211467.0, 8211344.0, 8212549.0, 8212494.0, 8211148.0]"
8214311.0,"[8203965.0, 8210448.0, 8213873.0, 8214080.0, 8214235.0, 8204847.0, 8207864.0, 8324926.0]"
8211298.0,"[8000018.0, 8200275.0, 8208864.0, 8210530.0, 8000146.0, 8000017.0]"
8214834.0,"[8212919.0, 8214398.0, 8215024.0, 8212138.0, 8214774.0, 8212276.0, 8207989.0, 8320393.0, 8315090.0]"
8212265.0,"[8210244.0, 8210693.0, 8211874.0, 8211429.0, 8210165.0, 8210516.0]"
8210747.0,"[8211025.0, 8212275.0, 8212382.0, 8301699.0, 8212236.0, 8211148.0, 8211703.0]"
8214774.0,"[8214398.0, 8214634.0, 8215007.0, 8212138.0, 8214834.0, 8207989.0, 8214855.0]"
8212241.0,"[8211701.0, 8210530.0, 8210929.0, 8000140.0]"
8213916.0,"[8213831.0, 8214214.0, 8214320.0, 8213834.0, 8214314.0, 8325360.0, 8325483.0, 8325495.0]"
8200301.0,"[8204793.0, 8213880.0, 8200300.0, 8200586.0, 8214132.0, 8214322.0, 8214034.0, 8214144.0, 8214242.0, 8213929.0]"
8212236.0,"[8211649.0, 8301699.0, 8214944.0, 8214319.0, 8210747.0, 8211148.0, 8210761.0, 8300839.0]"
8214132.0,"[8213855.0, 8213880.0, 8200586.0, 8200301.0, 8214322.0, 8207864.0]"
8211185.0,"[8200211.0, 8210959.0, 8211158.0, 8212379.0]"
8214322.0,"[8200309.0, 8214358.0, 8200300.0, 8214299.0, 8200301.0, 8214132.0, 8210775.0, 8207864.0]"
8214314.0,"[8213860.0, 8214214.0, 8214320.0, 8213916.0, 8213897.0, 8325457.0]"
8210165.0,"[8210244.0, 8211874.0, 8212473.0, 8210402.0, 8212265.0, 8212131.0]"
8212379.0,"[8200211.0, 8200275.0, 8210842.0, 8210928.0, 8210959.0, 8211185.0, 8210530.0]"
